STOP_FRISK_DATE,Stop Frisk Time,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_PREMISES_NAME,STOP_LOCATION_STREET_NAME,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG
1/1/2018,7:20:00,2018,January,Monday,Based on Radio Run,APP,POM,33,SGT,33,Y,O,,,1,ASSAULT,20,Y,,Y,N,,N,,Y,,,,Y,N,1001905,246040,,PBMN,MANHATTAN,,,Y,,,,Y,,Y,,,,,,,,Y,,,,,,,,DE,COOPERATIVE,21,MALE,BLACK HISPANIC,5.11,170,THN,BRO,BLK,,33,C,,517 WEST 171 STREET,,WEST 171 STREET,N,,,,N
1/1/2018,17:40:00,2018,January,Monday,Based on Self Initiated,APP,POM,52,SGT,52,Y,,,,3,CPW,12,Y,,Y,N,,N,,N,,,V,Y,Y,1013692,253318,,PBBX,BRONX,,,,,,,Y,,,,,Y,,,,,,,,,Y,,,,DE,CALM,18,MALE,BLACK,5.7,140,THN,BRO,BLK,,52,B,,EAST FORDHAM ROAD && BAINBRIDGE AVENUE,,EAST FORDHAM ROAD,Y,Y,,,Y
1/1/2018,,2018,January,Monday,Based on Radio Run,APP,POM,113,SGT,113,Y,,,,0,ASSAULT,14,Y,,Y,N,,N,,Y,,,,Y,Y,1052351,194979,,PBQS,QUEENS,,,,,,,Y,,,,,Y,,,,,,Y,,Y,,,,,DE,UNDERSTANDING,40,MALE,BLACK,6.3,200,MED,BRO,BLK,,113,D,,201 STREET && 113 AVENUE,,201 STREET,N,,,,N
1/2/2018,14:50:00,2018,January,Tuesday,Based on Radio Run,APP,POF,804,SGT,804,Y,I,H,Housing,10,CRIMINAL TRESPASS,10,Y,,Y,N,,N,,Y,,,,N,N,990930,202346,,PBMS,MANHATTAN,,,,,,,Y,,,,,,Y,,,,,,,,,,,,DE,,26,MALE,BLACK,5.8,160,MED,BRO,BLK,,9,A,,890 EAST 6 STREET,,EAST 6 STREET,N,,,,N
1/2/2018,12:50:00,2018,January,Tuesday,Based on C/W on Scene,APP,POM,13,LT,13,Y,I,P,PSB,2,GRAND LARCENY,4,Y,,N,N,,N,,Y,,,,N,N,989103,205769,,PBMS,MANHATTAN,,,,,,,Y,,,,,,Y,,,,Y,,,,,,,,DE,COOPERATIVE,15,MALE,BLACK,,180,MED,BLK,BLK,BLACK/GREY HOODIE AND JACKET,13,A,,239 1 AVENUE,,1 AVENUE,N,,,,N
1/2/2018,1:30:00,2018,January,Tuesday,Based on Self Initiated,APP,POM,14,SGT,14,Y,,P,PSB,0,GRAND LARCENY AUTO,5,Y,,N,N,,N,,Y,,,,N,N,988197,211351,,PBMS,MANHATTAN,,Y,Y,,,,Y,,,,,,,,,,Y,,,,,,,,DE,CALM,37,MALE,WHITE,5.9,150,THN,BRO,BLK,"GRAY KNIT CAP, BLACK JACKET, BLUE SWEAT PANTS AND GRAY SNEAKERS.",14,A,,307 5 AVENUE,,5 AVENUE,N,,,,N
1/2/2018,20:48:00,2018,January,Tuesday,Based on Radio Run,APP,POM,32,SGT,32,N,O,P,PSB,1,ASSAULT,10,Y,,N,N,,N,,Y,,,,N,N,1000756,236127,,PBMN,MANHATTAN,,,,,,,Y,,,,,,Y,,,,,,,,,,,,DE,COOPERATIVE,55,MALE,BLACK,5.11,175,MED,BRO,XXX,,32,C,,LENOX AVENUE && WEST 136 STREET,,LENOX AVENUE,N,,,,N
1/2/2018,19:20:00,2018,January,Tuesday,Based on Radio Run,APP,POM,807,SGT,807,Y,O,H,Housing,1,OTHER,3,Y,,N,N,,N,,Y,,,,Y,N,1005462,235283,,PBBX,BRONX,,,,,,,Y,,,,,Y,Y,,,,,,,,,,,,DE,COMPLIANT,38,MALE,WHITE,5.9,175,MED,BRO,XXX,,40,B,,340 ALEXANDER AVENUE,,ALEXANDER AVENUE,N,,,,N
1/2/2018,22:30:00,2018,January,Tuesday,Based on Self Initiated,APP,POM,807,SGT,807,Y,I,H,Housing,1,CRIMINAL TRESPASS,5,Y,,N,Y,CRIMINAL TRESPASS,N,,Y,,,,N,Y,1005796,234876,,PBBX,BRONX,,,,,,,Y,,,,,,,,,,Y,,,,,Y,,,DE,CALM,43,MALE,BLACK,5.5,130,THN,BRO,BLK,TATTOOS RIGHT HAND: AMERICAN LEFT HAND: GANGSTER,40,B,,383 EAST 141 STREET,,EAST 141 STREET,N,,,,N
1/2/2018,15:14:00,2018,January,Tuesday,Based on Self Initiated,APP,POM,49,SGT,49,Y,,P,PSB,1,CPW,5,Y,,N,Y,CPW,N,,N,,S,,Y,Y,1020854,250758,,PBBX,BRONX,,,Y,,,,Y,,,,,Y,,,,,,,,,Y,Y,,,DE,CALM,34,MALE,WHITE,5.8,145,THN,HAZ,BLN,,49,D,,2142 WHITE PLAINS ROAD,,WHITE PLAINS ROAD,N,,Y,,Y
